reclamo_año,reclamo_mes_nro,reclamo_mes_nombre,reclamo_sede_enargas,reclamo_prestadora,reclamo_tipo,reclamo_origen,reclamo_cantidad
2018,1,Enero,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,1
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,4
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Personal,7
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Telefónico,5
2018,1,Enero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,4
2018,1,Enero,Centro Regional Concordia,GAS NEA S.A.,III - Gestión de Prestaciones,Medio electrónico,1
2018,1,Enero,Centro Regional Concordia,GAS NEA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,3
2018,1,Enero,Centro Regional Concordia,GAS NEA S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,1
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Telefónico,11
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Personal,2
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Correo Postal,2
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,10
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,2
2018,1,Enero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Personal,5
2018,1,Enero,Centro Regional Cuyo,SBD GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,1
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Medio electrónico,3
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Telefónico,2
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,2
