Unnamed: 8,Unnamed: 9,reclamo_ano,reclamo_cantidad,reclamo_mes_nombre,reclamo_mes_nro,reclamo_origen,reclamo_prestadora,reclamo_sede_enargas,reclamo_tipo
,,2019,1,Enero,1,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,II  - Inconvenientes con el suministro de gas
,,2019,3,Enero,1,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Correo Postal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,III - Gestion de Prestaciones
,,2019,1,Enero,1,Medio electronico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Correo Postal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Telefonico,COOPETEL LTDA.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Medio electronico,CARLOS PAZ GAS S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Correo Postal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,14,Enero,1,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,28,Enero,1,Personal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,5,Enero,1,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Personal,GAS NEA S.A.,Centro Regional Concordia,I   - Facturacion y Gestion de Deudas
,,2019,4,Enero,1,Correo Postal,GAS NEA S.A.,Centro Regional Concordia,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Medio electronico,GAS NEA S.A.,Centro Regional Concordia,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,3,Enero,1,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,III - Gestion de Prestaciones
,,2019,1,Enero,1,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,4,Enero,1,Medio electronico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,13,Enero,1,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Medio electronico,SBD GAS DEL SUR S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Personal,SBD GAS DEL SUR S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Telefonico,BAGSA,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,5,Enero,1,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,7,Enero,1,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Correo Postal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,3,Enero,1,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,III - Gestion de Prestaciones
,,2019,2,Enero,1,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,III - Gestion de Prestaciones
,,2019,1,Enero,1,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,III - Gestion de Prestaciones
,,2019,10,Enero,1,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,15,Enero,1,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Correo Postal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,9,Enero,1,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Medio electronico,GRUPO SERVICIO JUNIN S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,3,Enero,1,Correo Postal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Correo Postal,COMPANIA DE GAS DE LA COSTA S.A.,Centro Regional Mar Del Plata,II  - Inconvenientes con el suministro de gas
,,2019,1,Enero,1,Correo Postal,GASNOR S.A.,Centro Regional Noroeste,I   - Facturacion y Gestion de Deudas
,,2019,17,Enero,1,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,I   - Facturacion y Gestion de Deudas
,,2019,2,Enero,1,Medio electronico,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Personal,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Telefonico,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
